Date;Type;Merchant/Description;Debit/Credit;Balance;
10/12/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£63.17;
10/12/2024;CARD PAYMENT;**** ***** **** ***** ***** ** **********;-£18.75;+£65.17;
10/12/2024;CARD PAYMENT;**** ***** **** ***** ***** ** **********;-£7.50;+£83.92;
09/12/2024;PAYMENT;****** ******** ******* ********* *** **** * *******;+£72.00;+£91.42;
09/12/2024;CARD PAYMENT;** ** **** ** **** ***** ***** ** **********;-£8.95;+£19.42;
09/12/2024;CARD PAYMENT;** ** **** ** **** ***** ***** ** **********;-£1.90;+£28.37;
09/12/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£30.27;
08/12/2024;CARD PAYMENT;******** ***** ** **** **** ***** ***** ** **********;-£35.00;+£32.27;
07/12/2024;PAYMENT;****** ******** ******* ******* ****** **** * *******;+£75.00;+£67.27;
07/12/2024;CARD PAYMENT;**** ******* ** ****** ****   ** **********;-£8.99;-£7.73;
06/12/2024;CARD PAYMENT;**** ******* ** ************** *******   ** **********;-£23.26;+£1.26;
06/12/2024;CARD PAYMENT;******** ****** **** ***** ***** ** **********;-£35.51;+£24.52;
05/12/2024;PAYMENT;****** ******** ******* ******* **** **** * *******;+£36.00;+£60.03;
05/12/2024;CARD PAYMENT;**** ******* ** *** ***** ***** **   ** **********;-£9.00;+£24.03;
05/12/2024;PAYMENT;****** ******** ******* ******* ***** **** * *******;+£23.26;+£33.03;
04/12/2024;PAYMENT;****** ******** ******* ********* ***** **** * *******;+£6.00;+£9.77;
04/12/2024;FOREIGN CURRENCY CONVERSION FEE;******* ******** ********** ***;-£0.08;+£3.77;
04/12/2024;CARD PAYMENT;**** ******* ** ************ ***** **** **** ********** ** **********;-£2.85;+£3.85;
03/12/2024;CARD PAYMENT;***** *** **** **** ***** ***** ** **********;-£3.60;+£6.70;
02/12/2024;CARD PAYMENT;**** ******* ** ****** ****   ** **********;-£0.67;+£10.30;
02/12/2024;DD;DIRECT DEBIT PAYMENT TO GOCARDLESS REF CLIMBINGUNIT-WDXVJ, MANDATE NO ****;-£39.00;+£10.97;
01/12/2024;CARD PAYMENT;**** ********** **** ***** ***** ** **********;-£2.50;+£49.97;
01/12/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£52.47;
30/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£54.47;
30/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£56.47;
30/11/2024;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£6.45;+£58.47;
30/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£64.92;
30/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£66.92;
29/11/2024;CARD PAYMENT;***** ****** **** ***** ***** ** **********;-£9.27;+£68.92;
29/11/2024;CARD PAYMENT;***** ****** **** ***** ***** ** **********;-£11.00;+£78.19;
29/11/2024;CARD PAYMENT;***** **** ******* **** ***** ***** ** **********;-£5.25;+£89.19;
29/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£94.44;
28/11/2024;CARD PAYMENT;***** ***** ****** **** ***** ***** ** **********;-£4.10;+£96.44;
28/11/2024;CARD PAYMENT;***** *** **** **** ***** ***** ** **********;-£3.55;+£100.54;
